spoid,name,type
SCH60235209,Alasala Colleges,Academic
R60005,Alaska Section,Section
CH06268,"Alaska Section Chapter, PE31",Chapter
A4843,Alaska Univ Of Anchorage,Academic
A8283,Albany Medical School,Academic
1-5N2VL1R,Albany State University,Academic
A13018,Albert Einstein College Of Medicine,Academic
SCH40000326,Albert Einstein University,Academic
A13709,Albion College,Academic
A14503,Albright College,Academic
CH06026,"Albuquerque Jt Chapter,AP03/NPS05/MTT17/EMC27",Joint Chapter
R60001,Albuquerque Section,Section
LM60001,"Albuquerque Section Affinity Group, LM",Affinity
YP60001,"Albuquerque Section Affinity Group, YP",Affinity
WE60001,"Albuquerque Section Affinity Group,WIE",Affinity
CH06287,"Albuquerque Section Chapter, PEL35/PE31",Joint Chapter
CH06310,"Albuquerque Section Chapter, SP01",Chapter
CH06341,"Albuquerque Section Jt Chapter,COM19/C16",Joint Chapter
CH06352,"Albuquerque Section Jt. Chapter,ED15/SSC37",Joint Chapter
A12350,Albuquerque Technical-Vocational Inst,Academic
A5093,Alcorn State Univ,Academic
STB16981,ALDAR Academy for Vocational Education,Student Branch
SCH16981,ALDAR Academy for Vocational Education,Academic
1-61CAMM,Alderson Broaddus College,Academic
STB65161,Alexandria Higher Institute of Engineering & Tech,Student Branch
SCH65161,Alexandria Higher Institute of Engineering & Tech,Academic
SCH10051,Alexandria University,Academic
STB10051,Alexandria University,Student Branch
SBC10051D,"Alexandria University,C16",Student Branch Chapter
SBC10051A,"Alexandria University,NPS05",Student Branch Chapter
SBC10051B,"Alexandria University,RA24",Student Branch Chapter
SBC10051C,"Alexandria University,SSC37",Student Branch Chapter
SBA10051,"Alexandria University,WIE",Affinity
SCH19021,Alfaisal University,Academic
STB19021,Alfaisal Universtiy,Student Branch
SCH60209166,ALFRA MANAGEMENT INSTITUTE,Academic
STB28751,Alfred University,Student Branch
A11649,Alfred University,Academic
CH08734,"Algeria Chapter, PE31",Chapter
R80120,Algeria Section,Section
YP80120,"Algeria Section Affinity Group, YP",Affinity
WE80120,"Algeria Section Affinity Group,WIE",Affinity
CH08841,"Algeria Section Chapter, GRS29",Chapter
CH08935,"Algeria Section Chapter,AES10",Chapter
CH08955,"Algeria Section Chapter,AP03",Chapter
CH08154,"Algeria Section Chapter,BIO46",Chapter
CH08543,"Algeria Section Chapter,C16",Chapter
CH08142,"Algeria Section Chapter,CAS04",Chapter
CH08542,"Algeria Section Chapter,CIS11",Chapter
CH08954,"Algeria Section Chapter,CS23",Chapter
CH08910,"Algeria Section Chapter,ED15",Chapter
CH08151,"Algeria Section Chapter,IA34",Chapter
CH08741,"Algeria Section Chapter,IE13",Chapter
CH08532,"Algeria Section Chapter,ITSS38",Chapter
CH08933,"Algeria Section Chapter,NANO42",Chapter
CH08902,"Algeria Section Chapter,PEL35",Chapter
CH08519,"Algeria Section Chapter,PHO36",Chapter
CH08918,"Algeria Section Chapter,SEN39",Chapter
CH08911,"Algeria Section Chapter,SSC37",Chapter
CH08941,"Algeria Section Chapter,SYS45",Chapter
CH08940,"Algeria Section Chapter,TEC802",Chapter
CH08916,"Algeria Section Chapter,VT06",Chapter
LGR80120ST,Algeria Section SIGHT Group,Local Group
SIGHT198,"Algeria Section,SIGHT",Affinity
A18112,Algoma Univ College,Academic
A20760,Algonquin College,Academic
STB03442,Algonquin College,Student Branch
SCH2535453,Ali Ahmad Shah Univ College Of Eng & Tech Mirpur,Academic
SCH2586403,Aligarh Muslim Univ,Academic
SCH2540263,Alkmaar Hogeschool,Academic
SBC63161,"All India Shri Shivaj Mem Soc In of Info Tech,CT08",Student Branch Chapter
SBC63161A,"All India Shri Shivaj Mem Soc Inst Info Tech,SEN39",Student Branch Chapter
STB63161,All India Shri Shivaj Mem Soc Inst of Info Tech,Student Branch
SCH63161,All India Shri Shivaj Mem Soc Inst of Info Tech,Academic
SCH98723,All India Shri Shivaji Mem Society Col of Eng-Pune,Academic
STB98723,All India Shri Shivaji Mem Society Col of Eng-Pune,Student Branch
SCH10611,All Nations University,Academic
STB10611,All Nations University College,Student Branch
A14469,Allan Hancock College,Academic
A17064,Allegheny College,Academic
A11919,Allegheny County Community College Of,Academic
SCH60208905,Alliant International University - Sacramento,Academic
1-3BCNS,Allied Business Schools Inc,Academic
A14633,Alma College,Academic
SCH60105111,Almaty University of Power Engineering & Telecom,Academic
SCH60111029,Alpen Adria Univer Klagenfurt (AAU),Academic
A42461,Alpena Community College,Academic
A6830,Alvernia College,Academic
A3268,Alvin Junior College,Academic
SCH60040101,Alzahra Univ,Academic
SCH11584,Alzaiem Alazhari University,Academic
STB11584,Alzaiem Alazhari University,Student Branch
SCH40293915,Ama Computer College,Academic
SCH60098943,AMA University,Academic
SCH64771,Amal Jyothi College Of Engineering,Academic
STB64771,Amal Jyothi College Of Engineering,Student Branch
SBA64771S,Amal Jyothi College Of Engineering SB SIGHT,Affinity
SBC64771A,"Amal Jyothi College Of Engineering,C16",Student Branch Chapter
SBC64771,"Amal Jyothi College Of Engineering,IA34",Student Branch Chapter
SBC64771C,"Amal Jyothi College Of Engineering,PE31",Student Branch Chapter
SBC64771B,"Amal Jyothi College Of Engineering,SSC37",Student Branch Chapter
SBA64771,"Amal Jyothi College Of Engineering,WIE",Affinity
A5287,Amarillo College,Academic
A4225,Amber Univ,Academic
STB63381,Ambrose Alli Univ,Student Branch
SBA63381,Ambrose Alli Univ WIE,Affinity
SCH63381,Ambrose Alli University,Academic
SCH2537653,Ambrose Alli university,Academic
1-23BIEKR,American Business & Technology University,Academic
SCH40196430,American College Of Cardiology,Academic
1-4J879NT,American College of Commerce & Technology,Academic
A10348,American College Of Comp & Info Sci,Academic
1-7U6CGOV,American College of Education,Academic
SCH60209390,American College of Greece,Academic
A2264,American Graduate School Of Intl Managament,Academic
1-5N2VL2E,American Heritage School,Academic
A4162,American Inst For Computer Sciences,Academic
1-BRETIH,American Intercontinental Univ - Online,Academic
A15788,American Intercontinental Univ-Atlanta,Academic
A11389,American Intercontinental Univ-Florida,Academic
A15942,American Intercontinental Univ-Houston,Academic
STB65431,American International Univ-Bangladesh,Student Branch
SBC65431C,"American International Univ-Bangladesh,EMB18",Student Branch Chapter
SBC65431A,"American International Univ-Bangladesh,IA34",Student Branch Chapter
SBC65431B,"American International Univ-Bangladesh,MTT17",Student Branch Chapter
SBA65431,"American International Univ-Bangladesh,WIE",Affinity
SCH60242480,American International University,Academic
SCH65431,American International University-Bangladesh,Academic
SBC65431D,"American International University-Bangladesh,C16",Student Branch Chapter
A2220,American Intl College,Academic
A2610,American Military Univ,Academic
STB18111,American Public University System,Student Branch
1-17YPBH1,American Public University System,Academic
A14936,American River College,Academic
A16347,American Sentinel Univ,Academic
HKN256,"American Univ of Sharjah, Lambda Lambda",Affinity
SCH18041,American University - Ras Al Khaimah,Academic
STB18041,American University - Ras Al Khaimah,Student Branch
