issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,SBC99671G,"Universidad de el Salvador,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC99671E,"Universidad de el Salvador,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC05521F,"Universidad de Guadalajara,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC05521A,"Universidad de Guadalajara,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC05521,"Universidad de Guadalajara,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC05521B,"Universidad de Guadalajara,GRS29",Student Branch Chapter,Active,GRS029,IEEE Geoscience and Remote Sensing Society,Society,Active
parent does not list unit as child,SBC05521E,"Universidad de Guadalajara,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC05521C,"Universidad de Guadalajara,PHO36",Student Branch Chapter,Active,PHO036,IEEE Photonics Society,Society,Active
parent does not list unit as child,SBC05521D,"Universidad de Guadalajara,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA05521,"Universidad de Guadalajara,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA05521,"Universidad de Guadalajara,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SBC11553C,"Universidad de Guadalajara-Valles,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC11553B,"Universidad de Guadalajara-Valles,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBC11553,"Universidad de Guadalajara-Valles,IE13",Student Branch Chapter,Active,IE013,IEEE Industrial Electronics Society,Society,Active
parent does not list unit as child,SBC11553A,"Universidad de Guadalajara-Valles,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA11553,"Universidad de Guadalajara-Valles,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC1513C,"Universidad de Guanajuato,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC1513B,"Universidad de Guanajuato,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC1513G,"Universidad de Guanajuato,IM09",Student Branch Chapter,Active,IM009,IEEE Instrumentation and Measurement Society,Society,Active
parent does not list unit as child,SBC15131,"Universidad de Guanajuato,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC1513E,"Universidad de Guanajuato,PHO36",Student Branch Chapter,Active,PHO036,IEEE Photonics Society,Society,Active
parent does not list unit as child,SBC1513F,"Universidad de Guanajuato,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC14431A,"Universidad de Ingenieria y Tecn - UTEC, IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC14431B,"Universidad de Ingenieria y Tecn - UTEC, PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBA14431,"Universidad de Ingenieria y Tecnologia - UTEC, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC14431H,"Universidad de Ingenieria y Tecnologia - UTEC,CS23",Student Branch Chapter,Active,CS023,IEEE Control Systems Society,Society,Active
parent does not list unit as child,SBC14431F,"Universidad de Ingenieria y Tecnologia UTEC,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC14431C,"Universidad de Ingenieria y Tecnologia-UTEC, RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC14431G,"Universidad de Ingenieria y Tecnologia-UTEC,AES10",Student Branch Chapter,Active,AES010,IEEE Aerospace and Electronic Systems Society,Society,Active
parent does not list unit as child,SBC14431E,"Universidad de Ingenieria y Tecnologia-UTEC,CAS04",Student Branch Chapter,Active,CAS004,IEEE Circuits and Systems Society,Society,Active
parent does not list unit as child,SBC14431D,"Universidad de Ingenieria y Tecnologia-UTEC,EMB018",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBA65981,Universidad de la Costa WIE,Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC65981A,"Universidad de la Costa, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC65981C,"Universidad de la Costa,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC65981,"Universidad De La Costa,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC65981B,"Universidad de la Costa,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SCH66041,Universidad de la Sabana,Academic,Active,R90705,Colombia Section,Section,Active
parent does not list unit as child,SBC66041A,"Universidad de la Sabana, C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC167111,"Universidad de Las Americas-Puebla,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
